date,state,fips,cases,deaths
2020-02-01,Arizona,4,1,0
2020-02-01,California,6,3,0
2020-02-01,Illinois,17,2,0
2020-02-01,Massachusetts,25,1,0
2020-02-01,Washington,53,1,0
2020-03-01,Arizona,4,1,0
2020-03-01,California,6,33,0
2020-03-01,Florida,12,2,0
2020-03-01,Illinois,17,3,0
2020-03-01,Massachusetts,25,1,0
2020-03-01,Nebraska,31,13,0
2020-03-01,New York,36,1,0
2020-03-01,Oregon,41,2,0
2020-03-01,Rhode Island,44,2,0
2020-03-01,Texas,48,11,0
2020-03-01,Utah,49,1,0
2020-03-01,Washington,53,17,3
2020-03-01,Wisconsin,55,1,0
2020-04-01,Alabama,1,1108,28
2020-04-01,Alaska,2,143,2
2020-04-01,Arizona,4,1413,29
2020-04-01,Arkansas,5,624,10
2020-04-01,California,6,9857,212
2020-04-01,Colorado,8,3346,80
2020-04-01,Connecticut,9,3557,85
2020-04-01,Delaware,10,368,11
2020-04-01,District of Columbia,11,586,11
2020-04-01,Florida,12,7769,100
2020-04-01,Georgia,13,4747,154
2020-04-01,Guam,66,147,3
2020-04-01,Hawaii,15,258,1
2020-04-01,Idaho,16,669,9
2020-04-01,Illinois,17,6978,146
2020-04-01,Indiana,18,2578,80
2020-04-01,Iowa,19,549,9
2020-04-01,Kansas,20,489,11
2020-04-01,Kentucky,21,674,20
2020-04-01,Louisiana,22,6424,275
2020-04-01,Maine,23,344,7
2020-04-01,Maryland,24,1985,33
2020-04-01,Massachusetts,25,7738,122
2020-04-01,Michigan,26,9292,336
2020-04-01,Minnesota,27,689,17
2020-04-01,Mississippi,28,1073,22
2020-04-01,Missouri,29,1580,21
2020-04-01,Montana,30,219,5
2020-04-01,Nebraska,31,249,5
2020-04-01,Nevada,32,1279,32
2020-04-01,New Hampshire,33,415,4
2020-04-01,New Jersey,34,22255,355
2020-04-01,New Mexico,35,363,6
2020-04-01,New York,36,84364,2415
2020-04-01,North Carolina,37,1591,11
2020-04-01,North Dakota,38,147,3
2020-04-01,Northern Mariana Islands,69,6,1
2020-04-01,Ohio,39,2548,65
2020-04-01,Oklahoma,40,719,30
2020-04-01,Oregon,41,737,19
2020-04-01,Pennsylvania,42,5805,78
2020-04-01,Puerto Rico,72,286,11
2020-04-01,Rhode Island,44,566,10
2020-04-01,South Carolina,45,1293,26
2020-04-01,South Dakota,46,129,1
2020-04-01,Tennessee,47,2689,23
2020-04-01,Texas,48,4402,65
2020-04-01,Utah,49,1012,7
2020-04-01,Vermont,50,321,16
2020-04-01,Virgin Islands,78,30,0
2020-04-01,Virginia,51,1511,18
2020-04-01,Washington,53,5589,250
2020-04-01,West Virginia,54,191,2
2020-04-01,Wisconsin,55,1552,33
2020-04-01,Wyoming,56,138,0
2020-05-01,Alabama,1,7294,289
2020-05-01,Alaska,2,362,7
2020-05-01,Arizona,4,7962,330
2020-05-01,Arkansas,5,3310,64
2020-05-01,California,6,52318,2147
2020-05-01,Colorado,8,15661,818
2020-05-01,Connecticut,9,28764,2339
2020-05-01,Delaware,10,4918,159
2020-05-01,District of Columbia,11,4658,231
2020-05-01,Florida,12,34720,1313
2020-05-01,Georgia,13,26436,1153
2020-05-01,Guam,66,1115,6
2020-05-01,Hawaii,15,610,16
2020-05-01,Idaho,16,2035,63
2020-05-01,Illinois,17,56055,2464
2020-05-01,Indiana,18,18941,1175
2020-05-01,Iowa,19,7883,170
2020-05-01,Kansas,20,4510,136
2020-05-01,Kentucky,21,4879,248
2020-05-01,Louisiana,22,28754,1970
2020-05-01,Maine,23,1123,55
2020-05-01,Maryland,24,23566,1192
2020-05-01,Massachusetts,25,64311,3716
2020-05-01,Michigan,26,42348,3866
2020-05-01,Minnesota,27,5730,371
2020-05-01,Mississippi,28,7212,281
2020-05-01,Missouri,29,7840,355
2020-05-01,Montana,30,452,16
2020-05-01,Nebraska,31,4838,72
2020-05-01,Nevada,32,5249,254
2020-05-01,New Hampshire,33,2310,81
2020-05-01,New Jersey,34,121190,7538
2020-05-01,New Mexico,35,3513,131
2020-05-01,New York,36,313575,23841
2020-05-01,North Carolina,37,10922,405
2020-05-01,North Dakota,38,1107,23
2020-05-01,Northern Mariana Islands,69,14,2
2020-05-01,Ohio,39,18743,1002
2020-05-01,Oklahoma,40,3748,230
2020-05-01,Oregon,41,2579,104
2020-05-01,Pennsylvania,42,49764,2671
2020-05-01,Puerto Rico,72,1573,94
2020-05-01,Rhode Island,44,8962,279
2020-05-01,South Carolina,45,6258,256
2020-05-01,South Dakota,46,2525,21
2020-05-01,Tennessee,47,11781,205
2020-05-01,Texas,48,30342,853
2020-05-01,Utah,49,4829,46
2020-05-01,Vermont,50,879,49
2020-05-01,Virgin Islands,78,66,4
2020-05-01,Virginia,51,16901,581
2020-05-01,Washington,53,15134,829
2020-05-01,West Virginia,54,1152,47
2020-05-01,Wisconsin,55,7314,327
2020-05-01,Wyoming,56,566,7
2020-06-01,Alabama,1,18534,646
2020-06-01,Alaska,2,476,8
2020-06-01,Arizona,4,20123,918
2020-06-01,Arkansas,5,7443,133
2020-06-01,California,6,115643,4287
2020-06-01,Colorado,8,26563,1458
2020-06-01,Connecticut,9,42740,3964
2020-06-01,Delaware,10,9605,368
2020-06-01,District of Columbia,11,8857,468
2020-06-01,Florida,12,56822,2459
2020-06-01,Georgia,13,45757,2057
2020-06-01,Guam,66,1144,6
2020-06-01,Hawaii,15,642,17
2020-06-01,Idaho,16,2908,83
2020-06-01,Illinois,17,121666,5458
2020-06-01,Indiana,18,35684,2142
2020-06-01,Iowa,19,19789,558
2020-06-01,Kansas,20,10103,217
2020-06-01,Kentucky,21,10150,445
2020-06-01,Louisiana,22,40452,2801
2020-06-01,Maine,23,2349,89
2020-06-01,Maryland,24,54035,2552
2020-06-01,Massachusetts,25,100805,7035
2020-06-01,Michigan,26,58435,5525
2020-06-01,Minnesota,27,25218,1060
2020-06-01,Mississippi,28,15752,739
2020-06-01,Missouri,29,13523,786
2020-06-01,Montana,30,519,17
2020-06-01,Nebraska,31,14345,183
2020-06-01,Nevada,32,8701,420
2020-06-01,New Hampshire,33,4685,245
2020-06-01,New Jersey,34,160918,11721
2020-06-01,New Mexico,35,7800,362
2020-06-01,New York,36,376520,29766
2020-06-01,North Carolina,37,29368,923
2020-06-01,North Dakota,38,2628,64
2020-06-01,Northern Mariana Islands,69,22,2
2020-06-01,Ohio,39,35984,2206
2020-06-01,Oklahoma,40,6573,334
2020-06-01,Oregon,41,4302,154
2020-06-01,Pennsylvania,42,76734,5574
2020-06-01,Puerto Rico,72,3873,136
2020-06-01,Rhode Island,44,14991,720
2020-06-01,South Carolina,45,12148,500
2020-06-01,South Dakota,46,5034,62
2020-06-01,Tennessee,47,23242,361
2020-06-01,Texas,48,66081,1695
2020-06-01,Utah,49,10026,113
2020-06-01,Vermont,50,983,55
2020-06-01,Virgin Islands,78,70,6
2020-06-01,Virginia,51,45398,1392
2020-06-01,Washington,53,23272,1133
2020-06-01,West Virginia,54,2028,76
2020-06-01,Wisconsin,55,18556,597
2020-06-01,Wyoming,56,910,17
2020-07-01,Alabama,1,38962,972
2020-07-01,Alaska,2,1174,12
2020-07-01,Arizona,4,84152,1726
2020-07-01,Arkansas,5,21197,277
2020-07-01,California,6,239764,6168
2020-07-01,Colorado,8,33012,1697
2020-07-01,Connecticut,9,46572,4324
2020-07-01,Delaware,10,11510,509
2020-07-01,District of Columbia,11,10365,553
2020-07-01,Florida,12,158989,3549
2020-07-01,Georgia,13,79589,2779
2020-07-01,Guam,66,1240,6
2020-07-01,Hawaii,15,909,18
2020-07-01,Idaho,16,6379,92
2020-07-01,Illinois,17,145541,7160
2020-07-01,Indiana,18,47116,2650
2020-07-01,Iowa,19,29618,717
2020-07-01,Kansas,20,15142,280
2020-07-01,Kentucky,21,16114,597
2020-07-01,Louisiana,22,60286,3238
2020-07-01,Maine,23,3294,105
2020-07-01,Maryland,24,68502,3205
2020-07-01,Massachusetts,25,109143,8081
2020-07-01,Michigan,26,71279,6202
2020-07-01,Minnesota,27,36753,1482
2020-07-01,Mississippi,28,27900,1082
2020-07-01,Missouri,29,22595,1049
2020-07-01,Montana,30,1016,22
2020-07-01,Nebraska,31,19325,282
2020-07-01,Nevada,32,19151,512
2020-07-01,New Hampshire,33,5802,373
2020-07-01,New Jersey,34,173782,15078
2020-07-01,New Mexico,35,12276,500
2020-07-01,New York,36,398770,31791
2020-07-01,North Carolina,37,66815,1389
2020-07-01,North Dakota,38,3624,89
2020-07-01,Northern Mariana Islands,69,30,2
2020-07-01,Ohio,39,52865,2876
2020-07-01,Oklahoma,40,14112,389
2020-07-01,Oregon,41,8937,210
2020-07-01,Pennsylvania,42,91864,6704
2020-07-01,Puerto Rico,72,7537,153
2020-07-01,Rhode Island,44,16853,956
2020-07-01,South Carolina,45,37919,766
2020-07-01,South Dakota,46,6826,93
2020-07-01,Tennessee,47,44360,602
2020-07-01,Texas,48,174826,2518
2020-07-01,Utah,49,22864,173
2020-07-01,Vermont,50,1210,56
2020-07-01,Virgin Islands,78,90,6
2020-07-01,Virginia,51,63203,1786
2020-07-01,Washington,53,35258,1340
2020-07-01,West Virginia,54,2979,93
2020-07-01,Wisconsin,55,32307,794
2020-07-01,Wyoming,56,1514,20