2020-07-01,Alabama,1,38962,972
2020-07-01,Alaska,2,1174,12
2020-07-01,Arizona,4,84152,1726
2020-07-01,Arkansas,5,21197,277
2020-07-01,California,6,239764,6168
2020-07-01,Colorado,8,33012,1697
2020-07-01,Connecticut,9,46572,4324
2020-07-01,Delaware,10,11510,509
2020-07-01,District of Columbia,11,10365,553
2020-07-01,Florida,12,158989,3549
2020-07-01,Georgia,13,79589,2779
2020-07-01,Guam,66,1240,6
2020-07-01,Hawaii,15,909,18
2020-07-01,Idaho,16,6379,92
2020-07-01,Illinois,17,145541,7160
2020-07-01,Indiana,18,47116,2650
2020-07-01,Iowa,19,29618,717
2020-07-01,Kansas,20,15142,280
2020-07-01,Kentucky,21,16114,597
2020-07-01,Louisiana,22,60286,3238
2020-07-01,Maine,23,3294,105
2020-07-01,Maryland,24,68502,3205
2020-07-01,Massachusetts,25,109143,8081
2020-07-01,Michigan,26,71279,6202
2020-07-01,Minnesota,27,36753,1482
2020-07-01,Mississippi,28,27900,1082
2020-07-01,Missouri,29,22595,1049
2020-07-01,Montana,30,1016,22
2020-07-01,Nebraska,31,19325,282
2020-07-01,Nevada,32,19151,512
2020-07-01,New Hampshire,33,5802,373
2020-07-01,New Jersey,34,173782,15078
2020-07-01,New Mexico,35,12276,500
2020-07-01,New York,36,398770,31791
2020-07-01,North Carolina,37,66815,1389
2020-07-01,North Dakota,38,3624,89
2020-07-01,Northern Mariana Islands,69,30,2
2020-07-01,Ohio,39,52865,2876
2020-07-01,Oklahoma,40,14112,389
2020-07-01,Oregon,41,8937,210
2020-07-01,Pennsylvania,42,91864,6704
2020-07-01,Puerto Rico,72,7537,153
2020-07-01,Rhode Island,44,16853,956
2020-07-01,South Carolina,45,37919,766
2020-07-01,South Dakota,46,6826,93
2020-07-01,Tennessee,47,44360,602
2020-07-01,Texas,48,174826,2518
2020-07-01,Utah,49,22864,173
2020-07-01,Vermont,50,1210,56
2020-07-01,Virgin Islands,78,90,6
2020-07-01,Virginia,51,63203,1786
2020-07-01,Washington,53,35258,1340
2020-07-01,West Virginia,54,2979,93
2020-07-01,Wisconsin,55,32307,794
2020-07-01,Wyoming,56,1514,20