2020-06-01,Alabama,1,18534,646
2020-06-01,Alaska,2,476,8
2020-06-01,Arizona,4,20123,918
2020-06-01,Arkansas,5,7443,133
2020-06-01,California,6,115643,4287
2020-06-01,Colorado,8,26563,1458
2020-06-01,Connecticut,9,42740,3964
2020-06-01,Delaware,10,9605,368
2020-06-01,District of Columbia,11,8857,468
2020-06-01,Florida,12,56822,2459
2020-06-01,Georgia,13,45757,2057
2020-06-01,Guam,66,1144,6
2020-06-01,Hawaii,15,642,17
2020-06-01,Idaho,16,2908,83
2020-06-01,Illinois,17,121666,5458
2020-06-01,Indiana,18,35684,2142
2020-06-01,Iowa,19,19789,558
2020-06-01,Kansas,20,10103,217
2020-06-01,Kentucky,21,10150,445
2020-06-01,Louisiana,22,40452,2801
2020-06-01,Maine,23,2349,89
2020-06-01,Maryland,24,54035,2552
2020-06-01,Massachusetts,25,100805,7035
2020-06-01,Michigan,26,58435,5525
2020-06-01,Minnesota,27,25218,1060
2020-06-01,Mississippi,28,15752,739
2020-06-01,Missouri,29,13523,786
2020-06-01,Montana,30,519,17
2020-06-01,Nebraska,31,14345,183
2020-06-01,Nevada,32,8701,420
2020-06-01,New Hampshire,33,4685,245
2020-06-01,New Jersey,34,160918,11721
2020-06-01,New Mexico,35,7800,362
2020-06-01,New York,36,376520,29766
2020-06-01,North Carolina,37,29368,923
2020-06-01,North Dakota,38,2628,64
2020-06-01,Northern Mariana Islands,69,22,2
2020-06-01,Ohio,39,35984,2206
2020-06-01,Oklahoma,40,6573,334
2020-06-01,Oregon,41,4302,154
2020-06-01,Pennsylvania,42,76734,5574
2020-06-01,Puerto Rico,72,3873,136
2020-06-01,Rhode Island,44,14991,720
2020-06-01,South Carolina,45,12148,500
2020-06-01,South Dakota,46,5034,62
2020-06-01,Tennessee,47,23242,361
2020-06-01,Texas,48,66081,1695
2020-06-01,Utah,49,10026,113
2020-06-01,Vermont,50,983,55
2020-06-01,Virgin Islands,78,70,6
2020-06-01,Virginia,51,45398,1392
2020-06-01,Washington,53,23272,1133
2020-06-01,West Virginia,54,2028,76
2020-06-01,Wisconsin,55,18556,597
2020-06-01,Wyoming,56,910,17